HOME_TEAM,AWAY_TEAM,GAME NUMBER,FIRST_INDEX,LAST_INDEX
Rockets,Spurs,262.0,19639.0,19719.0
Bucks,Raptors,263.0,19720.0,19763.0
Hornets,Grizzlies,264.0,19764.0,19837.0
Heat,Magic,265.0,19838.0,19891.0
Rockets,Pelicans,266.0,19892.0,19960.0
Celtics,Pistons,267.0,19961.0,20078.0
Nets,Wizards,268.0,20079.0,20155.0
Pacers,Timberwolves,269.0,20156.0,20203.0
Bulls,Mavericks,270.0,20204.0,20294.0
Clippers,Jazz,271.0,20295.0,20369.0
Celtics,Knicks,272.0,20370.0,20445.0
Nuggets,Thunder,273.0,20446.0,20502.0
Trail Blazers,Kings,274.0,20503.0,20582.0
Hornets,Lakers,275.0,20583.0,20657.0
Hawks,Pacers,276.0,20658.0,20751.0
Mavericks,Bucks,277.0,20752.0,20816.0
Timberwolves,Spurs,278.0,20817.0,20910.0
Cavaliers,Suns,279.0,20911.0,20984.0
76ers,Jazz,280.0,20985.0,21078.0
Pistons,Knicks,281.0,21079.0,21147.0
Hawks,Rockets,282.0,21148.0,21258.0
Grizzlies,Heat,283.0,21259.0,21324.0
Bucks,Thunder,284.0,21325.0,21402.0
Nets,Magic,285.0,21403.0,21478.0
Celtics,Lakers,286.0,21479.0,21557.0
Raptors,Wizards,287.0,21558.0,21652.0
Bulls,Pacers,288.0,21653.0,21742.0
Timberwolves,Jazz,289.0,21743.0,21802.0
Nuggets,Trail Blazers,290.0,21803.0,21872.0
76ers,Kings,291.0,21873.0,21971.0
Warriors,Rockets,292.0,21972.0,22029.0
Clippers,Pelicans,293.0,22030.0,22126.0
Thunder,Suns,294.0,22127.0,22187.0
Magic,Wizards,295.0,22188.0,22241.0
Hornets,Raptors,296.0,22242.0,22306.0
Lakers,76ers,297.0,22307.0,22373.0
Nets,Celtics,298.0,22374.0,22445.0
Pistons,Pacers,299.0,22446.0,22513.0
Mavericks,Pelicans,300.0,22514.0,22575.0
Grizzlies,Jazz,301.0,22576.0,22642.0
Nuggets,Warriors,302.0,22643.0,22698.0
Nuggets,Trail Blazers,303.0,22699.0,22791.0
Timberwolves,76ers,304.0,22792.0,22849.0
Nets,Celtics,305.0,22850.0,22943.0
Pacers,Heat,306.0,22944.0,23014.0
Rockets,Jazz,307.0,23015.0,23096.0
Hawks,Knicks,308.0,23097.0,23175.0
Bulls,Bucks,309.0,23176.0,23232.0
Mavericks,Kings,310.0,23233.0,23300.0
Pacers,Magic,311.0,23301.0,23371.0
Cavaliers,Wizards,312.0,23372.0,23412.0
Celtics,Pistons,313.0,23413.0,23503.0
Nuggets,Timberwolves,314.0,23504.0,23579.0
Hornets,Suns,315.0,23580.0,23635.0
Clippers,Trail Blazers,316.0,23636.0,23690.0
Celtics,Bulls,317.0,23691.0,23771.0
Rockets,Jazz,318.0,23772.0,23849.0
Lakers,Kings,319.0,23850.0,23916.0
Nets,Magic,320.0,23917.0,23973.0
Nuggets,Grizzlies,321.0,23974.0,24046.0
Pacers,Pelicans,322.0,24047.0,24119.0
Mavericks,Bucks,323.0,24120.0,24187.0
Heat,Suns,324.0,24188.0,24250.0
Lakers,Thunder,325.0,24251.0,24335.0
Hornets,Clippers,326.0,24336.0,24389.0
Heat,Jazz,327.0,24390.0,24470.0
Mavericks,Timberwolves,328.0,24471.0,24537.0
Clippers,Pelicans,329.0,24538.0,24628.0
Cavaliers,76ers,330.0,24629.0,24681.0
Celtics,Grizzlies,331.0,24682.0,24798.0
Hornets,Nuggets,332.0,24799.0,24861.0
Thunder,Trail Blazers,333.0,24862.0,24930.0
Warriors,Heat,334.0,24931.0,25004.0
Pacers,Suns,335.0,25005.0,25079.0
Pistons,Spurs,336.0,25080.0,25175.0
Celtics,Knicks,337.0,25176.0,25246.0
Rockets,Grizzlies,338.0,25247.0,25304.0
Bulls,Bucks,339.0,25305.0,25388.0
Timberwolves,Thunder,340.0,25389.0,25471.0
Cavaliers,Mavericks,341.0,25472.0,25543.0
Lakers,Pelicans,342.0,25544.0,25610.0
Bucks,Wizards,343.0,25611.0,25699.0
Nets,Knicks,344.0,25700.0,25792.0
