PLAYER_NAME,PLAYER1_ID,FIRST_NAME,LAST_NAME,TS,EFG
Pablo Prigioni,203143,Pablo,Prigioni,0.4913522012578616,0.45999999999999996
Pat Connaughton,1626192,Pat,Connaughton,0.3808864265927978,0.32142857142857145
Patrick Beverley,201976,Patrick,Beverley,0.5544354838709677,0.5297619047619048
Patrick Patterson,202335,Patrick,Patterson,0.5410915934755333,0.5241935483870968
Patty Mills,201988,Patty,Mills,0.537430450177036,0.5197368421052632
Pau Gasol,2200,Pau,Gasol,0.5302056555269923,0.48188405797101447
Paul George,202331,Paul,George,0.5563583815028903,0.49162011173184367
Paul Millsap,200794,Paul,Millsap,0.5551948051948052,0.5037878787878789
Paul Pierce,1718,Paul,Pierce,0.4887820512820512,0.456896551724138
Phil Pressey,203515,Phil,Pressey,0.42481977342945415,0.411764705882353
Quincy Acy,203112,Quincy,Acy,0.6298449612403101,0.5972222222222222
RJ Hunter,1626154,RJ,Hunter,0.48421807747489237,0.4629629629629629
Rajon Rondo,200765,Rajon,Rondo,0.503213802435724,0.49082568807339455
Ramon Sessions,201196,Ramon,Sessions,0.5663615560640732,0.5
Randy Foye,200751,Randy,Foye,0.46122576610381494,0.42500000000000004
Rashad Vaughn,1626173,Rashad,Vaughn,0.39866255144032925,0.39473684210526316
Rasual Butler,2446,Rasual,Butler,0.5550986842105263,0.5434782608695653
Raul Neto,203526,Raul,Neto,0.5271622587562544,0.5
Ray McCallum,203492,Ray,McCallum,0.4369703389830508,0.41666666666666663
Raymond Felton,101109,Raymond,Felton,0.5016899028305872,0.4588235294117647
Reggie Bullock,203493,Reggie,Bullock,0.5943804034582132,0.5769230769230769
Reggie Jackson,202704,Reggie,Jackson,0.5343337880854935,0.48089171974522293
Richard Jefferson,2210,Richard,Jefferson,0.5816412859560068,0.5595238095238095
Richaun Holmes,1626158,Richaun,Holmes,0.5533596837944663,0.5227272727272727
Ricky Rubio,201937,Ricky,Rubio,0.5313552188552189,0.42857142857142855
Robert Covington,203496,Robert,Covington,0.5449591280653951,0.5047169811320754
Robert Sacre,203135,Robert,Sacre,0.4781420765027322,0.39999999999999997
Robin Lopez,201577,Robin,Lopez,0.5734966592427617,0.54320987654321
Rodney Hood,203918,Rodney,Hood,0.5410447761194029,0.5040650406504065
Rodney Stuckey,201155,Rodney,Stuckey,0.5063723258989531,0.44078947368421056
Rondae Hollis-Jefferson,1626178,Rondae,Hollis-Jefferson,0.5185979971387696,0.46875
Ronnie Price,101179,Ronnie,Price,0.5088325652841782,0.5
Roy Hibbert,201579,Roy,Hibbert,0.5006788866259335,0.4313725490196079
Rudy Gay,200752,Rudy,Gay,0.5380380380380381,0.5034722222222222
Rudy Gobert,203497,Rudy,Gobert,0.5815439672801636,0.5517241379310345
Russ Smith,203893,Russ,Smith,0.39556962025316456,0.3666666666666667
Russell Westbrook,201566,Russell,Westbrook,0.5524731991724656,0.48895027624309384
Ryan Anderson,201583,Ryan,Anderson,0.5434782608695652,0.49645390070921985
