Game,Player Name,Number Shots,Average Shots
273.0,Russell Westbrook,3.0,1.8333333333333333
274.0,DeMarcus Cousins,8.0,3.2
274.0,CJ McCollum,6.0,2.0
275.0,Kemba Walker,5.0,2.75
275.0,Kobe Bryant,7.0,2.4285714285714284
276.0,Thabo Sefolosha,2.0,1.4
276.0,Solomon Hill,4.0,2.5
277.0,Khris Middleton,3.0,2.0
277.0,Wesley Matthews,2.0,1.5
278.0,Tony Parker,2.0,1.8
278.0,Zach LaVine,6.0,2.6
279.0,LeBron James,3.0,2.0
279.0,TJ Warren,4.0,2.5
280.0,Ish Smith,6.0,3.5
280.0,Trey Burke,5.0,2.75
281.0,Derrick Williams,4.0,3.0
281.0,Reggie Jackson,3.0,1.6666666666666667
282.0,Jeff Teague,6.0,2.8
282.0,James Harden,4.0,2.25
283.0,Mike Conley,3.0,1.3333333333333333
283.0,Dwyane Wade,5.0,3.0
284.0,Giannis Antetokounmpo,4.0,2.8
284.0,Kevin Durant,4.0,2.0
285.0,Nikola Vucevic,5.0,3.0
285.0,Jarrett Jack,5.0,2.0
286.0,Avery Bradley,5.0,2.0
286.0,Kobe Bryant,3.0,2.0
287.0,Kyle Lowry,3.0,1.5714285714285714
287.0,John Wall,7.0,2.8
288.0,Jimmy Butler,4.0,3.0
288.0,Monta Ellis,4.0,2.4
289.0,Trey Burke,4.0,2.2
289.0,Tayshaun Prince,3.0,1.8
290.0,Will Barton,4.0,2.75
290.0,Maurice Harkless,4.0,1.8
291.0,Ish Smith,3.0,1.8
291.0,Marco Belinelli,3.0,2.0
292.0,James Harden,5.0,3.0
292.0,Klay Thompson,5.0,2.2
293.0,Chris Paul,4.0,2.5
293.0,Anthony Davis,4.0,2.6
294.0,Brandon Knight,6.0,3.0
294.0,Kevin Durant,5.0,2.75
295.0,Evan Fournier,4.0,1.6666666666666667
295.0,John Wall,6.0,3.0
296.0,Marvin Williams,4.0,2.75
296.0,Terrence Ross,3.0,2.2
297.0,Ish Smith,5.0,1.7142857142857142
297.0,Nick Young,3.0,2.25
298.0,Isaiah Thomas,5.0,2.5
298.0,Brook Lopez,6.0,3.0
299.0,Paul George,7.0,2.5
299.0,Reggie Jackson,9.0,3.0
300.0,Wesley Matthews,3.0,2.0
300.0,Jrue Holiday,3.0,1.4
301.0,Mike Conley,4.0,3.0
301.0,Rodney Hood,4.0,2.0
302.0,Will Barton,7.0,2.8
302.0,Klay Thompson,5.0,2.25
303.0,Jameer Nelson,3.0,2.2
303.0,CJ McCollum,4.0,2.0
304.0,Ish Smith,6.0,2.3333333333333335
304.0,Ricky Rubio,3.0,2.0
305.0,Isaiah Thomas,5.0,2.1666666666666665
305.0,Joe Johnson,4.0,1.5
306.0,Dwyane Wade,5.0,2.6
306.0,Paul George,6.0,2.5
307.0,Gordon Hayward,4.0,2.25
307.0,James Harden,5.0,2.25
308.0,Paul Millsap,3.0,2.0
308.0,Carmelo Anthony,4.0,1.7142857142857142
309.0,Giannis Antetokounmpo,4.0,2.5
309.0,Pau Gasol,3.0,2.6666666666666665
310.0,DeMarcus Cousins,6.0,3.0
310.0,Wesley Matthews,4.0,3.0
311.0,Victor Oladipo,3.0,2.4
311.0,Monta Ellis,2.0,1.25
312.0,Kyrie Irving,5.0,2.5
312.0,Gary Neal,5.0,2.4
313.0,Isaiah Thomas,4.0,1.8333333333333333
313.0,Reggie Jackson,6.0,2.2
314.0,Randy Foye,2.0,1.6
314.0,Karl-Anthony Towns,5.0,2.0
315.0,Kemba Walker,6.0,4.0
315.0,TJ Warren,2.0,1.6
316.0,JJ Redick,3.0,1.8333333333333333
316.0,Damian Lillard,5.0,2.2
317.0,Derrick Rose,4.0,2.2
317.0,Jared Sullinger,4.0,2.4
318.0,Gordon Hayward,4.0,2.3333333333333335
318.0,James Harden,5.0,2.6666666666666665
319.0,Rudy Gay,4.0,2.25
319.0,Jordan Clarkson,6.0,2.2
320.0,Victor Oladipo,4.0,2.8
320.0,Shane Larkin,3.0,1.8
321.0,Zach Randolph,6.0,3.0
321.0,Jusuf Nurkic,4.0,1.6666666666666667
322.0,Monta Ellis,3.0,1.5714285714285714
322.0,Eric Gordon,3.0,1.4285714285714286
323.0,Khris Middleton,3.0,1.5
323.0,Raymond Felton,5.0,2.75
324.0,Goran Dragic,3.0,1.6666666666666667
324.0,Brandon Knight,5.0,2.4
