Game,Player Name,Number Shots,Average Shots,HOME_TEAM,AWAY_TEAM,FIRST_INDEX,LAST_INDEX,Best_Player
101.0,Zach LaVine,2.0,1.75,Timberwolves,Magic,7648.0,7730.0,Tobias Harris
102.0,Jared Sullinger,5.0,3.333333333333333,Celtics,Mavericks,7731.0,7820.0,Isaiah Thomas
102.0,Dirk Nowitzki,3.0,2.2,Celtics,Mavericks,7731.0,7820.0,Dirk Nowitzki
103.0,Lamar Patterson,4.0,3.0,Hawks,Kings,7821.0,7887.0,Paul Millsap
103.0,Rajon Rondo,3.0,1.8333333333333333,Hawks,Kings,7821.0,7887.0,DeMarcus Cousins
104.0,James Harden,5.0,2.8,Rockets,Trail Blazers,7888.0,7983.0,James Harden
104.0,Damian Lillard,5.0,2.75,Rockets,Trail Blazers,7888.0,7983.0,Damian Lillard
105.0,Ish Smith,5.0,3.0,Pelicans,Thunder,7984.0,8062.0,Ryan Anderson
105.0,Russell Westbrook,7.0,2.4,Pelicans,Thunder,7984.0,8062.0,Russell Westbrook
106.0,Gordon Hayward,3.0,2.0,Raptors,Jazz,8063.0,8137.0,Jonas Valanciunas
106.0,DeMar DeRozan,5.0,3.0,Raptors,Jazz,8063.0,8137.0,Derrick Favors
107.0,Jimmy Butler,4.0,1.8333333333333333,Bulls,Suns,8138.0,8193.0,Pau Gasol
107.0,Brandon Knight,5.0,2.6,Bulls,Suns,8138.0,8193.0,Eric Bledsoe
108.0,Chris Paul,6.0,3.25,Warriors,Clippers,8194.0,8251.0,Stephen Curry
108.0,Stephen Curry,4.0,2.25,Warriors,Clippers,8194.0,8251.0,Chris Paul
109.0,Reggie Jackson,6.0,2.75,Pistons,Timberwolves,8252.0,8314.0,Andre Drummond
109.0,Zach LaVine,5.0,2.333333333333333,Pistons,Timberwolves,8252.0,8314.0,Karl-Anthony Towns
110.0,Anthony Davis,6.0,2.1666666666666665,Pelicans,Spurs,8315.0,8370.0,Anthony Davis
